fighter_a,fighter_b,event_date,target,elo_diff,elo_momentum_diff,height_diff,reach_diff,age_diff,slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,days_since_last_diff,fight_rate_diff,opp_quality_diff,finish_rate_diff,ko_rate_diff,sub_rate_diff,win_streak_diff,kd_diff,same_stance,stance_?_vs_?,wc_Bantamweight,wc_Catch Weight,wc_Featherweight,wc_Flyweight,wc_Heavyweight,wc_Light Heavyweight,wc_Lightweight,wc_Middleweight,wc_Open Weight,wc_Super Heavyweight,wc_Welterweight,wc_Women's Bantamweight,wc_Women's Featherweight,wc_Women's Flyweight,wc_Women's Strawweight
Nate Diaz,Alvin Robinson,"January 23, 2008",1.0,37.78657026391602,0.0,0,0,0,0,0,0,0,0,0,0,31,-0.23894859813084102,65.5474809520515,0.0,-1.0,1.0,2,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Kurt Pellegrino,Alberto Crane,"January 23, 2008",1.0,45.92735304356847,15.14658235004299,0,0,0,0,0,0,0,0,0,0,0,0.17155135972946312,-25.437652339137685,0.6666666666666666,0.0,0.6666666666666666,2,1.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jeremy Stephens,Cole Miller,"January 23, 2008",0.0,-4.222255235752073,0.0,0,0,0,0,0,0,0,0,0,0,-3,-0.39495636054684535,-47.82316162077336,0.0,0.0,0.0,0,-10.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Corey Hill,Joe Veres,"January 23, 2008",1.0,16.73630679352209,0.0,0,0,0,0,0,0,0,0,0,0,-126,-2.8988095238095237,16.0,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Matt Wiman,Justin Buchholz,"January 23, 2008",1.0,14.378006231032032,14.378006231032032,0,0,0,0,0,0,0,0,0,0,123,1.8081683168316833,4.3760416075394915,1.0,1.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Gray Maynard,Dennis Siver,"January 23, 2008",0.0,0.7363067935220897,0.0,0,0,0,0,0,0,0,0,0,0,-11,0.7763672863456934,-8.0,0.0,1.0,-1.0,1,-10.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Antonio Rodrigo Nogueira,Tim Sylvia,"February 02, 2008",0.0,-9.625834706458363,-8.823556259663974,0,0,0,0,0,0,0,0,0,0,105,-0.5038053809036405,47.28732059364256,-0.5714285714285714,-0.5714285714285714,0.0,0,-1.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Frank Mir,Brock Lesnar,"February 02, 2008",1.0,-3.619152400948451,19.907134148718114,0,0,0,0,0,0,0,0,0,0,161,1.7598554533508541,6.7252421072159905,1.0,0.4,0.6,2,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Nate Marquardt,Jeremy Horn,"February 02, 2008",1.0,-71.14187745572895,-62.70919118626034,0,0,0,0,0,0,0,0,0,0,-406,0.977994892431512,-14.933015768285031,-0.3571428571428571,0.2142857142857143,-0.5714285714285714,-2,10.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ricardo Almeida,Rob Yundt,"February 02, 2008",1.0,14.56073392833514,14.56073392833514,0,0,0,0,0,0,0,0,0,0,2213,0.4445233265720081,5.788011430057622,0.5,0.0,0.5,0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Chris Lytle,Kyle Bradley,"February 02, 2008",0.0,-22.92295358774004,-10.669216178785291,0,0,0,0,0,0,0,0,0,0,77,1.387200911507786,20.243970689814432,0.5,0.25,0.25,1,-10.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tim Boetsch,David Heath,"February 02, 2008",1.0,0.12863403689539155,-15.871365963104608,0,0,0,0,0,0,0,0,0,0,-161,-2.782857142857143,0.1772886415794801,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Marvin Eastman,Terry Martin,"February 02, 2008",1.0,-30.48948373899384,-32.721907948459375,0,0,0,0,0,0,0,0,0,0,228,-1.3944240363228135,15.578271037720697,0.0,0.0,0.0,-2,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Rob Emerson,Keita Nakamura,"February 02, 2008",1.0,49.31917931042517,0.0,0,0,0,0,0,0,0,0,0,0,-79,-0.125429258241758,22.699413093322846,0.0,0.0,0.0,1,1.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Tyson Griffin,Gleison Tibau,"February 02, 2008",0.0,-31.142883707767396,-30.55034020228868,0,0,0,0,0,0,0,0,0,0,-14,-0.3732873431062571,4.574641845574433,0.0,0.0,0.0,-1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jorge Gurgel,John Halverson,"March 01, 2008",1.0,17.920487326904095,17.85782869478976,0,0,0,0,0,0,0,0,0,0,-259,1.4554946978791516,-8.428935950847062,0.0,0.0,0.0,1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Diego Sanchez,David Bielkheden,"March 01, 2008",1.0,1.5235056997928496,21.670626016766164,0,0,0,0,0,0,0,0,0,0,161,2.7644276253547777,7.917422445847933,0.75,0.75,0.0,1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Josh Koscheck,Dustin Hazelett,"March 01, 2008",1.0,42.80669688260696,31.41548895733672,0,0,0,0,0,0,0,0,0,0,25,0.2339968265556207,9.210368542606147,0.0,0.16666666666666666,-0.16666666666666669,2,10.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Luigi Fioravanti,Luke Cummo,"March 01, 2008",1.0,95.60193778342978,96.37084355612637,0,0,0,0,0,0,0,0,0,0,99,0.4715585264963944,17.585093998266075,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Andrei Arlovski,Jake O'Brien,"March 01, 2008",0.0,1.2603680103873103,3.807952832566116,0,0,0,0,0,0,0,0,0,0,-86,-0.16534752675057263,12.979892388389544,0.0,-0.16666666666666663,0.16666666666666666,0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Jon Fitch,Chris Wilson,"March 01, 2008",0.0,36.60934242524695,-23.803822801213528,0,0,0,0,0,0,0,0,0,0,161,2.9053977272727276,-5.901716150526681,0.6,0.2,0.4,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Yushin Okami,Evan Tanner,"March 01, 2008",0.0,-6.01785389504289,1.0919760424781089,0,0,0,0,0,0,0,0,0,0,-553,2.3225851642104582,-4.857504156616642,-0.7142857142857143,-0.7142857142857143,0.0,0,-20.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Chris Leben,Alessio Sakara,"March 01, 2008",1.0,101.63332621476115,53.93915521651661,0,0,0,0,0,0,0,0,0,0,122,0.5368701481318281,5.986867910413594,-0.5,0.3333333333333333,-0.8333333333333334,0,10.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Heath Herring,Cheick Kongo,"March 01, 2008",0.0,-2.675441083049236,-1.1406286658295812,0,0,0,0,0,0,0,0,0,0,63,-0.3010942328563968,-3.5595133910262575,-0.3333333333333333,-0.3333333333333333,0.0,-1,-10.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Anderson Silva,Dan Henderson,"March 01, 2008",1.0,51.61440803760934,20.156625111009134,0,0,0,0,0,0,0,0,0,0,-42,2.6778221210228086,-27.389929671576965,1.0,0.6666666666666666,0.3333333333333333,0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Thiago Alves,Karo Parisyan,"April 02, 2008",1.0,-33.32476960067834,-33.48808888822305,0,0,0,0,0,0,0,0,0,0,0,0.9903110047846888,-8.835768250284673,0.4666666666666666,0.6666666666666666,-0.2,0,10.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Matt Hamill,Tim Boetsch,"April 02, 2008",1.0,-47.37919616033673,-15.385119976382157,0,0,0,0,0,0,0,0,0,0,147,-1.7453703703703707,-4.170881814541644,-1.0,-1.0,0.0,-1,0.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Kenny Florian,Joe Lauzon,"April 02, 2008",1.0,-61.70066660677662,8.623525565836644,0,0,0,0,0,0,0,0,0,0,59,0.715960403776627,2.921634065968874,0.0,0.0,0.0,1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Gray Maynard,Frankie Edgar,"April 02, 2008",0.0,-1.2990227041018443,-1.2990227041018443,0,0,0,0,0,0,0,0,0,0,-67,1.2739586101514746,1.6743926840256336,1.0,1.0,0.0,-1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Nate Diaz,Kurt Pellegrino,"April 02, 2008",1.0,1.8698086253755264,1.2498270092621624,0,0,0,0,0,0,0,0,0,0,0,0.9777541431554622,9.158801310415583,0.25,-0.25,0.5,0,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
